,key,avg,sum,num,name,source
75,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0285463,0.0285463,1,X_batch,tiledbsoma
318,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0165663,0.0165663,1,X_batch,tiledbsoma
372,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0243333,0.0243333,1,X_batch,tiledbsoma
21,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0145232,0.0145232,1,X_batch,tiledbsoma
129,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0138091,0.0138091,1,X_batch,tiledbsoma
210,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0215291,0.0215291,1,X_batch,tiledbsoma
291,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0252369,0.0252369,1,X_batch,tiledbsoma
102,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0216256,0.0216256,1,X_batch,tiledbsoma
183,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0260037,0.0260037,1,X_batch,tiledbsoma
156,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0118747,0.0118747,1,X_batch,tiledbsoma
237,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0278438,0.0278438,1,X_batch,tiledbsoma
48,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0212648,0.0212648,1,X_batch,tiledbsoma
264,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0152358,0.0152358,1,X_batch,tiledbsoma
101,Context.StorageManager.Query.Reader.process_slabs,0.0588879,0.0588879,1,X_batch,tiledbsoma
20,Context.StorageManager.Query.Reader.process_slabs,0.0752472,0.0752472,1,X_batch,tiledbsoma
155,Context.StorageManager.Query.Reader.process_slabs,0.0300277,0.0300277,1,X_batch,tiledbsoma
74,Context.StorageManager.Query.Reader.process_slabs,0.0859131,0.0859131,1,X_batch,tiledbsoma
128,Context.StorageManager.Query.Reader.process_slabs,0.0339402,0.0339402,1,X_batch,tiledbsoma
371,Context.StorageManager.Query.Reader.process_slabs,0.0800686,0.0800686,1,X_batch,tiledbsoma
209,Context.StorageManager.Query.Reader.process_slabs,0.0607484,0.0607484,1,X_batch,tiledbsoma
290,Context.StorageManager.Query.Reader.process_slabs,0.087654,0.087654,1,X_batch,tiledbsoma
47,Context.StorageManager.Query.Reader.process_slabs,0.0829867,0.0829867,1,X_batch,tiledbsoma
236,Context.StorageManager.Query.Reader.process_slabs,0.107183,0.107183,1,X_batch,tiledbsoma
263,Context.StorageManager.Query.Reader.process_slabs,0.0436988,0.0436988,1,X_batch,tiledbsoma
182,Context.StorageManager.Query.Reader.process_slabs,0.0885956,0.0885956,1,X_batch,tiledbsoma
317,Context.StorageManager.Query.Reader.process_slabs,0.0389852,0.0389852,1,X_batch,tiledbsoma
344,Context.StorageManager.Query.Reader.process_slabs,0.0721713,0.0721713,1,X_batch,tiledbsoma
19,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0473529,0.0473529,1,X_batch,tiledbsoma
235,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0690877,0.0690877,1,X_batch,tiledbsoma
154,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0149944,0.0149944,1,X_batch,tiledbsoma
181,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0429244,0.0429244,1,X_batch,tiledbsoma
73,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0456509,0.0456509,1,X_batch,tiledbsoma
316,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0205353,0.0205353,1,X_batch,tiledbsoma
127,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0179447,0.0179447,1,X_batch,tiledbsoma
370,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0384577,0.0384577,1,X_batch,tiledbsoma
289,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.055055,0.055055,1,X_batch,tiledbsoma
343,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0340183,0.0340183,1,X_batch,tiledbsoma
100,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0287404,0.0287404,1,X_batch,tiledbsoma
262,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0243933,0.0243933,1,X_batch,tiledbsoma
46,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0571094,0.0571094,1,X_batch,tiledbsoma
208,Context.StorageManager.Query.Reader.read_and_unfilter_attributes,0.0328259,0.0328259,1,X_batch,tiledbsoma
288,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0829013,0.0829013,1,X_batch,tiledbsoma
234,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0980461,0.0980461,1,X_batch,tiledbsoma
342,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.09783,0.09783,1,X_batch,tiledbsoma
315,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.059452,0.059452,1,X_batch,tiledbsoma
99,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0758413,0.0758413,1,X_batch,tiledbsoma
261,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0633531,0.0633531,1,X_batch,tiledbsoma
18,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0867319,0.0867319,1,X_batch,tiledbsoma
45,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0877822,0.0877822,1,X_batch,tiledbsoma
153,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0454944,0.0454944,1,X_batch,tiledbsoma
72,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.10559,0.10559,1,X_batch,tiledbsoma
369,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0769862,0.0769862,1,X_batch,tiledbsoma
126,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.0526453,0.0526453,1,X_batch,tiledbsoma
207,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.080486,0.080486,1,X_batch,tiledbsoma
180,Context.StorageManager.Query.Reader.read_and_unfilter_coords,0.106896,0.106896,1,X_batch,tiledbsoma
287,Context.StorageManager.Query.Reader.read_attribute_tiles,0.0146601,0.0293203,2,X_batch,tiledbsoma
260,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00278137,0.00556275,2,X_batch,tiledbsoma
71,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00446046,0.00892092,2,X_batch,tiledbsoma
314,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00278518,0.00557035,2,X_batch,tiledbsoma
206,Context.StorageManager.Query.Reader.read_attribute_tiles,0.0031452,0.0062904,2,X_batch,tiledbsoma
44,Context.StorageManager.Query.Reader.read_attribute_tiles,0.0131711,0.0263423,2,X_batch,tiledbsoma
179,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00436981,0.00873963,2,X_batch,tiledbsoma
152,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00182298,0.00364596,2,X_batch,tiledbsoma
17,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00774368,0.0154874,2,X_batch,tiledbsoma
98,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00399714,0.00799428,2,X_batch,tiledbsoma
233,Context.StorageManager.Query.Reader.read_attribute_tiles,0.0141529,0.0283058,2,X_batch,tiledbsoma
368,Context.StorageManager.Query.Reader.read_attribute_tiles,0.00754705,0.0150941,2,X_batch,tiledbsoma
